State,District,Jan 30,Jan 31,Feb 1,Feb 2,Feb 3,Feb 4,Feb 5,Feb 6,Feb 7,Feb 8,Feb 9,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 1,Mar 2,Mar 3,Mar 4,Mar 5,Mar 6,Mar 7,Mar 8,Mar 9,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 1,Apr 2,Apr 3,Apr 4,Apr 5,Apr 6,Apr 7,Apr 8,Apr 9,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30,May 1,May 2,May 3,May 4,May 5,May 6,May 7,May 8,May 9,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,Jun 1,Jun 2,Jun 3,Jun 4,Jun 5,Jun 6,Jun 7,Jun 8,Jun 9,Jun 10,Jun 11,Jun 12,Jun 13,Jun 14,Jun 15,Jun 16,Jun 17,Jun 18,Jun 19,Jun 20,Jun 21,Jun 22,Jun 23,Jun 24,Jun 25,Jun 26,Jun 27,Jun 28,Jun 29,Jun 30,Jul 1,Jul 2,Jul 3,Jul 4,Jul 5,Jul 6,Jul 7,Jul 8,Jul 9,Jul 10,Jul 11,July 12,July 13,July 14,July 15,July 16,July 17,July 18,July 19,July 20,July 21,July 22,July 23,July 24,July 25,July 26,July 27,July 28,July 29,July 30,July 31,August 1,August 2,August 3,August 4,August 5,August 6,August 7,August 8,August 9,August 10,August 11,August 12,August 13,August 14,August 15,August 16,August 17,August 18,August 19,August 20,August 21,August 22,August 23,August 24,August 25,August 26,August 27,August 28,August 29,August 30,August 31,September 1,September 2,September 3,September 4,September 5,September 6,September 7,September 8,September 9,September 10,September 11,September 12,September 13,September 14,September 15,September 16,September 17,September 18,September 19,September 20,September 21,September 22,September 23,September 24,September 25,September 26,September 27,September 28,September 29,September 30,October 1,October 2,October 3,October 4,October 5,October 6,October 7,October 8,October 9,October 10,October 11,October 12,October 13,October 14,October 15,October 16,October 17,October 18,October 19,October 20,October 21,October 22,October 23,October 24,October 25,October 26,October 27,October 28,October 29,October 30,October 31,November 1,November 2,November 3,November 4,November 5,November 6,November 7,November 8,November 9,November 10,November 11,November 12,November 13,November 14,November 15,November 16,November 17,November 18,November 19,November 20,November 21,November 22,November 23,November 24,November 25,November 26,November 27,November 28,November 29,November 30,December 1,December 2,December 3,December 4,December 5,December 6,December 7,December 8,December 9,December 10,December 11,December 12,December 13,December 14,December 15,December 16,December 17,December 18,December 19,December 20,December 21,December 22,December 23,December 24,December 25,December 26,December 27,December 28,December 29,December 30,December 31,January 1,January 2,January 3,January 4,January 5,January 6,January 7,January 8,January 9,January 10,January 11,January 12,January 13,January 14,January 15,January 16,January 17,January 18,January 19,January 20
Andhra Pradesh,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,42,65,92,96,120,141,145,171,231,235,258,287,321,441,441,488,524,589,729,780,842,842,925,998,1056,1142,1192,1252,1252,1456,1552,1552,1664,1568,1756,1804,1831,1884,1884,1884,2125,2226,2281,2332,2366,2407,2446,2521,2556,2600,2660,2711,2403,2860,2968,3091,3185,3326,3385,3513,3641,3772,3905,4111,4307,4435,4592,4779,4988,5196,5480,5908,6232,6511,6988,7313,7632,8008,8422,8920,9745,11101,12154,13194,14393,15412,16464,17467,18378,19393,20298,21763,22890,24228,25583,32127,37924,39935,43255,46301,49558,52622,55406,60024,63864,76614,82886,88672,95625,104354,112870,120464,129615,138712,145636,154749,161425,170984,180703,191117,201234,209100,218311,226372,235218,244045,252638,260087,268828,278247,286720,295248,303711,312687,321754,330526,339518,348330,358009,370163,382104,394019,404074,415765,425607,435647,446716,457008,467139,476903,486531,497376,508088,519891,530711,541319,551821,562376,570667,579474,588169,597294,605090,612300,622136,629211,636508,643993,651791,658875,666433,672479,678828,684930,691040,697699,703208,708712,714427,719477,725099,730109,735638,740229,744532,749676,754415,758138,762419,765991,769576,773548,777900,781509,784752,788375,792083,795592,798625,802325,805026,807318,809770,812517,814773,816322,818473,820234,822011,824189,826344,828484,829991,832284,833980,835801,837630,839395,841026,842416,843863,845039,846120,847325,848511,852298,853232,854326,855485,856320,857233,858115,859029,859624,860368,861153,861711,862230,862895,863508,864049,864612,865327,865825,866359,866856,867445,867867,868279,868769,869124,869478,869920,870342,870752,871116,871588,871916,872266,872545,872897,873149,873427,873855,874223,874531,874954,875243,875456,875690,875921,876140,876372,876698,876989,877212,877443,877639
Andhra Pradesh,Anantapur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,7,7,11,13,14,14,14,17,20,24,24,24,24,24,34,39,42,42,45,45,48,49,52,56,56,71,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,173,173,174,175,175,175,175,175,175,175,175,175,175,288,299,310,347,347,388,463,702,838,915,1005,1083,1111,1139,1247,1359,1443,1517,1655,1703,1821,1893,2072,2155,2205,2404,2500,2616,2732,3091,3255,3980,4315,4711,4740,4926,5029,5228,5384,5772,6158,6885,8011,9473,10944,12667,14263,15496,16162,16927,17597,19076,19625,20689,21517,22437,23322,24300,25218,25794,26554,27367,28076,28599,29238,30021,30672,31546,32494,33220,33929,34603,35464,36052,36726,37472,38195,38913,39527,40241,41344,42191,43127,43856,44611,45367,46166,46818,47392,48104,48801,49356,49895,50633,51216,51838,52342,52991,53495,53903,54446,54950,55406,55934,56420,56869,57297,57491,57653,57945,58203,58401,58650,58861,59059,59207,59408,59610,59816,60070,60274,60532,60764,60987,61191,61497,61725,61910,62113,62250,62496,62679,62896,63024,63122,63154,63302,63494,63715,63862,64030,64156,64279,64403,64453,64671,64831,64891,65000,65084,65142,65239,65336,65441,65518,65557,65590,65648,65697,65757,65797,65840,65886,65904,65914,65947,66002,66042,66063,66079,66098,66115,66149,66178,66202,66231,66268,66277,66285,66335,66348,66377,66394,66411,66419,66438,66468,66483,66512,66525,66545,66562,66581,66599,66626,66641,66651,66682,66695,66710,66726,66742,66766,66777,66794,66800,66811,66826,66856,66878,66893,66907,66913,66919
Andhra Pradesh,Chittoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,11,11,11,13,16,16,16,16,24,24,37,45,48,68,68,74,74,74,74,74,74,77,77,77,77,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,213,213,221,223,223,223,223,223,223,223,223,223,223,272,272,275,284,289,290,310,335,338,369,399,411,411,463,463,574,732,903,998,1057,1126,1174,1183,1236,1273,1303,1362,1413,1462,1580,1685,3083,3442,3581,3901,4128,4432,4680,4898,5143,5437,6010,6344,6671,7097,7452,7948,8498,9169,9842,10367,10945,11363,12126,12779,13371,14093,14673,15284,16117,16765,17440,18641,19503,21288,22126,23029,23819,24730,25632,26470,27368,28198,29008,29983,30969,32156,33109,34043,35053,36039,37218,38360,39391,40396,41298,42231,43110,44007,44929,45919,46602,47715,48741,49394,50339,51262,52053,52857,53652,54617,55317,56127,56874,57596,58376,58907,59338,60065,61002,61876,63005,63789,64060,64770,65189,66239,66923,67672,68309,68830,69622,70313,70843,71464,72011,72499,73062,73617,73983,74301,74763,75068,75526,75970,76396,76640,76969,77278,77711,77975,78370,78702,78985,79227,79499,79746,79973,80072,80253,80491,80775,81170,81338,81503,81665,81752,81875,82003,82053,82181,82240,82293,82394,82463,82577,82720,82776,82911,82993,83054,83151,83216,83318,83420,83519,83630,83667,83774,83855,83997,84092,84177,84287,84322,84392,84466,84530,84612,84643,84770,84811,84886,84972,85038,85087,85141,85233,85262,85342,85380,85412,85483,85529,85563,85589,85637,85674,85704,85729,85796,85826,85856,85897
Andhra Pradesh,East Godavari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,8,8,8,8,12,12,12,12,12,14,17,17,20,22,22,26,26,26,26,31,31,31,35,35,35,35,39,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,114,114,146,163,163,163,163,163,163,163,163,163,163,292,292,293,305,308,311,315,329,339,341,350,368,388,416,444,471,471,516,648,694,754,825,847,928,952,1082,1132,1251,1271,1279,1301,2797,3156,3383,3683,4323,4859,5448,5695,6104,6569,13317,13526,13727,13939,14424,14792,15698,16148,17447,18471,19825,20120,21026,22260,23753,25122,26049,27056,27937,28988,29988,30960,31691,32811,33946,35564,36476,37146,38425,39193,40243,41286,42291,43612,47075,49489,52067,53889,55690,57497,59292,60808,62650,64256,65740,67180,68561,69939,71227,72474,73831,75146,76580,77732,79246,80539,81821,83108,84358,85701,86884,88252,89280,90179,91079,92001,92871,93642,94726,95722,96706,97630,98608,99364,100177,101116,101840,102580,103180,103836,104433,105053,105656,106361,106957,107469,108001,108601,109070,109585,110011,110657,111112,111569,112041,112201,112539,112939,113333,113555,113680,113840,114045,114221,114235,114439,114606,114639,114985,115169,115560,115814,116219,116517,116742,117035,117164,117308,117479,117625,120420,120522,120627,120957,121015,121055,121111,121251,121299,121375,121485,121546,121581,121661,121790,121843,121894,122035,122088,122115,122142,122226,122268,122303,122355,122389,122424,122442,122541,122565,122616,122660,122707,122723,122747,122795,122815,122844,122892,122958,123024,123066,123080,123106,123128,123155,123169,123175,123217,123225,123241,123256,123260
Andhra Pradesh,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,23,23,23,23,29,29,39,59,87,97,97,115,115,128,129,150,164,164,176,198,198,225,246,257,257,275,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,393,393,401,415,415,415,415,415,415,415,415,415,415,501,501,501,501,511,538,538,552,574,594,594,670,713,713,745,775,794,1135,1284,1334,1398,1455,1495,1640,1829,1902,2105,2385,2570,2670,2875,2875,4151,4269,4752,4934,5609,6149,6723,7754,7978,8366,9039,9975,10545,11374,12007,12477,13038,13711,14592,15340,15759,16310,16882,17554,18109,18938,19584,20265,21012,21581,22320,23251,24059,24782,25210,25620,26199,26740,27341,27799,28434,29047,29900,30582,31464,32119,32730,33468,33994,34898,35752,36515,37125,38300,38997,39698,40235,40934,41566,42262,43062,43630,44273,44805,45355,46089,46466,46914,47964,48422,49143,49695,50385,50948,51499,51854,52377,52983,53372,54029,54349,54902,55473,55863,56362,56608,57303,57925,58223,58667,59118,59547,60067,60376,60632,61123,61533,61936,62373,62782,63117,63565,63812,64191,64589,64979,65291,65802,66162,66341,66737,67011,67297,67569,67685,68138,68345,68745,68917,69181,69410,69560,69809,69981,70106,70251,70437,70594,70737,70897,71003,71177,71337,71451,71598,71721,71831,71951,72076,72268,72310,72362,72394,72427,72495,72581,72733,72768,72840,72947,73028,73071,73118,73230,73274,73315,73381,73396,73444,73490,73542,73577,73621,73659,73716,73728,73797,73869,73931,73974,74058,74101,74119,74175,74242,74268,74279,74310,74334,74343,74390,74421
Andhra Pradesh,Kadapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,19,19,23,28,28,28,28,28,28,28,28,37,37,37,37,39,40,40,43,43,43,45,46,56,56,63,63,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,114,114,114,114,114,114,114,114,114,114,114,114,114,142,157,175,205,219,244,248,280,309,347,380,404,426,426,440,455,473,494,592,737,850,913,988,1084,1143,1205,1272,1316,1375,1445,1496,1666,2046,2483,2689,2991,3154,3294,3457,3662,3864,4026,4190,4415,4651,5101,5584,6020,6486,6830,7407,8155,8723,9425,9941,11477,12118,12679,13505,14166,14421,14759,14984,15276,15604,16189,16496,17038,17597,18176,18603,18913,19150,20101,20754,21510,22309,23179,23683,24671,25298,25866,27025,28341,29664,30685,31524,32489,33097,33744,34607,35323,35936,36561,37277,37586,38063,38623,39247,39521,39828,40095,40311,40576,40874,41330,42503,42526,42909,43151,43505,43864,44168,44531,44867,45212,45525,45902,46272,46638,46983,47418,47904,48123,48461,48777,49045,49245,49511,49733,49897,50095,50282,50496,50710,50924,51085,51190,51332,51524,51712,51866,52033,52152,52283,52463,52565,52677,52810,52926,53022,53099,53174,53257,53325,53365,53430,53485,53523,53575,53617,53677,53733,53750,53761,53798,53831,53861,53899,53936,53966,53977,53995,54016,54040,54060,54084,54108,54129,54167,54183,54197,54215,54215,54220,54225,54226,54244,54278,54293,54310,54310,54343,54350,54367,54367,54369,54400,54426,54438,54447,54466,54489,54503,54520,54530,54534,54534,54534,54535,54536,54540,54540,54543
Andhra Pradesh,Krishna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,14,14,16,25,25,29,29,29,29,32,32,44,44,46,46,56,117,123,126,126,137,142,177,202,203,206,206,253,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,353,353,358,365,365,365,365,365,365,365,365,365,365,453,463,507,514,519,524,560,572,579,600,614,629,653,669,671,672,1000,1245,1297,1392,1440,1465,1841,1887,1960,2027,2108,2147,2207,2268,2382,2455,3260,3552,3921,4060,4196,4290,4435,4549,4641,4728,4864,5015,5293,5532,5832,6008,6247,6462,6575,6747,6991,7271,7554,8086,8727,9208,9665,10170,10532,10887,11331,11546,11754,12143,12397,12601,12822,13086,13408,13725,14073,14222,14465,14736,15076,15442,15728,16020,16305,16578,17064,17467,17853,18195,18627,18921,19387,19724,20248,20604,20916,21311,21677,22038,22500,22855,23253,23589,23974,24294,24694,25092,25437,25817,26189,26663,27097,27479,27756,28202,28580,28933,29250,29743,30131,30624,31110,31456,31727,31936,32126,32351,32556,32727,33110,33257,33767,34451,34674,35088,35593,36133,36293,36563,36887,37029,37197,37511,37845,38019,38411,38619,38888,39258,39647,39977,40162,40591,40849,41114,41395,41692,41877,42151,42414,42613,42728,42851,43093,43319,43468,43658,43803,43919,44043,44209,44336,44445,44606,44693,44826,44909,45083,45146,45183,45285,45343,45440,45555,45638,45779,45853,45935,46027,46084,46141,46199,46305,46353,46429,46531,46576,46632,46670,46735,46759,46796,46881,46979,47008,47115,47174,47195,47231,47249,47267,47299,47341,47359,47394,47434,47460
Andhra Pradesh,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,7,31,31,43,43,43,66,66,77,86,114,153,168,191,191,239,267,284,297,316,343,343,405,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,603,603,613,620,620,620,620,620,620,620,620,620,620,732,762,777,807,827,873,931,959,965,978,1055,1058,1089,1147,1217,1267,1318,1573,1617,1743,1813,1884,1982,2105,2233,2285,2324,2427,2603,2754,3019,4632,5079,5331,5674,6035,6425,6864,7177,7610,8077,9294,10051,10719,11568,12146,13314,13938,16314,17814,18322,18940,19590,21196,22556,23731,25458,26407,27604,28034,29168,29943,30760,31711,32437,33270,33661,34350,35127,36031,36961,37865,38550,38975,39751,40392,41346,42194,43081,44045,44530,45338,46030,46543,47160,47598,47977,48293,48801,49280,49858,50402,50904,51393,51733,52045,52469,52863,53199,53517,53791,53980,54252,54398,54587,54787,54992,55217,55330,55474,55689,55951,56163,56378,56598,56632,56755,56947,57122,57332,57450,57664,57711,57799,57928,58085,58194,58285,58340,58406,58449,58514,58580,58649,58739,58806,58839,58860,58891,58916,58952,58986,59026,59048,59083,59118,59156,59178,59215,59239,59275,59308,59332,59367,59412,59431,59458,59470,59488,59514,59526,59545,59568,59589,59599,59630,59658,59678,59699,59721,59736,59748,59758,59763,59782,59795,59800,59808,59812,59815,59829,59847,59867,59889,59917,59929,59938,59944,59957,59970,59996,60002,60011,60016,60021,60030,60042,60043,60053,60057,60061,60068,60074,60084,60095,60103,60115,60120,60127,60139,60165,60177,60200,60206
Andhra Pradesh,Prakasam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,12,23,23,23,23,23,42,42,42,50,56,56,52,60,60,60,60,60,60,60,60,60,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,69,69,76,76,76,76,76,76,76,76,76,76,76,95,249,282,295,306,306,327,327,348,367,367,367,374,374,382,382,403,411,433,541,572,629,629,649,707,764,776,1105,1159,1300,1387,1387,1756,1542,1642,1746,1914,1914,1914,2079,2194,2635,3233,3531,3697,3983,4324,4619,4884,5270,5541,5803,6126,6431,6685,6789,7017,7351,7923,8292,8640,9047,9375,9752,9989,10308,10644,11043,11324,11629,11985,12396,12699,13101,13352,13742,14107,14645,15139,16043,17160,18157,19290,20436,21689,22760,23821,25031,26627,28055,29282,30436,31181,31927,32796,33561,34434,35123,35904,36661,38087,39557,41159,42549,43633,44772,45796,46670,47294,47896,48524,49115,49811,50377,50808,51178,51675,52096,52513,52886,53196,53604,53946,54286,54657,55044,55407,55937,56356,56640,56904,57301,57490,57654,57816,57981,58478,58786,58963,59015,59025,59072,59197,59293,59390,59508,59578,59649,59736,59802,59862,59915,59977,60041,60114,60175,60258,60305,60356,60401,60438,60469,60503,60543,60566,60595,60634,60680,60724,60752,60789,60809,60829,60869,60898,60929,60952,60990,61018,61052,61080,61103,61140,61175,61194,61212,61237,61255,61269,61288,61305,61319,61331,61349,61362,61373,61381,61388,61396,61404,61417,61426,61432,61439,61443,61453,61453,61458,61542,61465,61465,61473,61475,61478
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,6,6,8,23,23,24,27,27,44,44,44,50,50,52,59,60,60,62,76,76,77,78,81,81,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,188,188,192,202,202,202,202,202,202,202,202,202,202,243,96,100,100,128,133,147,147,180,200,220,240,267,305,375,415,415,497,546,616,652,718,784,898,976,1038,1075,788,802,958,988,988,1914,1914,1914,1914,1995,2132,2318,2524,2649,2946,3188,3456,3997,4312,5263,5777,6182,6524,6930,7555,8388,9815,10721,11357,11922,12334,12973,13425,14481,15489,16496,17328,17938,18687,19344,20209,21101,22035,22863,23733,24562,25574,26624,27762,28997,30263,31500,32684,33795,34800,35973,36909,37906,39038,40029,40983,41809,42763,43563,44342,44945,45565,46212,46593,47096,47573,48218,48662,49237,49595,49897,50343,50749,51139,51638,52193,52711,53164,53623,54032,54512,54924,55183,55475,55752,55973,56203,56465,56757,57117,57373,57610,57812,58000,58160,58365,58411,58461,58555,58669,58790,58971,59084,59100,59115,59227,59244,59257,59270,59281,59301,59329,59348,59362,59383,59398,59408,59452,59469,59501,59539,59599,59675,59771,59841,59926,59988,60101,60170,60182,60215,60254,60288,60332,60381,60445,60464,60494,60528,60559,60591,60616,60641,60681,60687,60723,60768,60794,60815,60837,60854,60870,60900,60935,60962,60982,60997,61025,61046,61076,61099,61100,61130,61145,61173,61181,61187,61204,61232,61254,61258,61275,61288,61301,61311,61344,61311,61474,61557,61605,61618,61632
