State,District,Jan 30,Jan 31,Feb 1,Feb 2,Feb 3,Feb 4,Feb 5,Feb 6,Feb 7,Feb 8,Feb 9,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 1,Mar 2,Mar 3,Mar 4,Mar 5,Mar 6,Mar 7,Mar 8,Mar 9,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 1,Apr 2,Apr 3,Apr 4,Apr 5,Apr 6,Apr 7,Apr 8,Apr 9,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30,May 1,May 2,May 3,May 4,May 5,May 6,May 7,May 8,May 9,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,June 1,June 2,June 3,June 4,June 5,June 6,June 7,June 8,June 9,June 10,June 11,June 12,June 13,June 14,June 15,June 16,June 17,June 18,June 19,June 20,June 21,June 22,June 23,June 24,June 25,June 26,June 27,June 28,June 29,June 30,July 1,July 2,July 3,July 4,July 5,July 6,July 7,July 8,July 9,July 10,July 11,July 12,July 13,July 14,July 15,July 16,July 17,July 18,July 19,July 20,July 21,July 22,July 23,July 24,July 25,July 26,July 27,July 28,July 29,July 30,July 31,August 1,August 2,August 3,August 4,August 5,August 6,August 7,August 8,August 9,August 10,August 11,August 12,August 13,August 14,August 15,August 16,August 17,August 18,August 19,August 20,August 21,August 22,August 23,August 24,August 25,August 26,August 27,August 28,August 29,August 30,August 31,September 1,September 2,September 3,September 4,September 5,September 6,September 7,September 8,September 9,September 10,September 11,September 12,September 13,September 14,September 15,September 16,September 17,September 18,September 19,September 20,September 21,September 22,September 23,September 24,September 25,September 26,September 27,September 28,September 29,September 30,October 1,October 2,October 3,October 4,October 5,October 6,October 7,October 8,October 9,October 10,October 11,October 12,October 13,October 14,October 15,October 16,October 17,October 18,October 19,October 20,October 21,October 22,October 23,October 24,October 25,October 26,October 27,October 28,October 29,October 30,October 31,November 1,November 2,November 3,November 4,November 5,November 6,November 7,November 8,November 9,November 10,November 11,November 12,November 13,November 14,November 15,November 16,November 17,November 18,November 19,November 20,November 21,November 22,November 23,November 24,November 25,November 26,November 27,November 28,November 29,November 30,December 1,December 2,December 3,December 4,December 5,December 6,December 7,December 8,December 9,December 10,December 11,December 12,December 13,December 14,December 15,December 16,December 17,December 18,December 19,December 20,December 21,December 22,December 23,December 24,December 25,December 26,December 27,December 28,December 29,December 30,December 31,January 1,January 2,January 3,January 4,January 5,January 6,January 7,January 8,January 9,January 10,January 11,January 12,January 13,January 14,January 15,January 16,January 17,January 18,January 19,January 20
Andhra Pradesh,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,5,7,8,9,10,11,12,19,21,23,44,87,149,161,192,252,303,314,348,363,381,405,420,439,484,525,534,572,603,647,722,757,813,893,955,1016,1097,1177,1259,1332,1403,1525,1525,1583,1650,1717,1777,1833,1887,1930,1980,2018,2051,2137,2205,2307,2355,2380,2432,2432,2560,2605,2667,2714,2797,2886,2886,2886,3245,3330,3461,3571,3679,3791,3971,4112,4250,4460,4659,4813,5029,5247,5429,5636,5858,6152,6456,6756,7071,7496,7961,8452,8929,9372,9834,9956,10884,11489,12285,13098,13891,14595,15235,16097,16934,17699,18697,20019,21197,22259,23814,25422,27235,29168,31103,33019,35451,38044,40646,44609,49650,53677,58668,64713,72711,80858,88671,96298,102349,110297,120390,130557,140933,150209,158764,166586,176333,186461,196789,206960,217040,227860,235525,244549,254146,264142,273085,281817,289829,296609,306261,316003,325396,334940,345216,353111,361712,371639,382469,393090,403616,414164,424767,434771,445139,455531,465730,476506,487331,498125,506493,517094,527512,537687,547686,557587,567123,575079,583925,592760,601462,609558,617776,625514,631749,639302,646530,654385,661458,668751,675674,681161,687351,693484,700235,706790,713014,719256,723512,729307,734427,739719,744864,750517,755727,758951,763573,767465,771503,775470,779146,783132,786230,789553,793299,796919,800684,804026,807023,808924,811825,814774,817679,820565,823348,825969,827882,830731,833208,835953,838363,840730,842967,844359,846245,847977,849705,851298,852955,854011,854764,856159,857395,858711,859932,861092,862213,862758,863843,864674,865705,866438,867063,867683,868064,868749,869412,870076,870675,871305,871972,872288,872839,873457,873995,874515,875025,875531,875836,876336,876814,877348,877806,878285,878723,878937,879339,879718,880075,880430,880712,881061,881273,881599,881948,882286,882612,882850,883082,883210,883587,883876,884171,884490,884689,884916,885037,885234,885437,885616,885710,885824,885985,886066,886245,886418
Andhra Pradesh,Anantapur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,6,6,13,13,15,15,15,15,20,21,21,26,26,29,33,36,36,42,46,51,53,53,54,58,61,71,71,78,78,80,80,83,99,102,107,115,115,118,118,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,306,306,351,366,366,366,366,366,366,366,366,366,366,800,870,938,1028,1080,1159,1320,1371,1467,1571,1689,1823,1972,2099,2186,2328,2481,2568,2659,2850,3161,3290,3466,3651,3813,3987,4284,4504,5141,5438,5941,6266,7282,8266,8989,9723,10247,10987,12358,13312,14699,15827,16523,17476,18801,20061,21173,22273,23249,24107,24738,25697,26478,27334,28096,28947,29527,30062,30507,31630,32603,33307,34327,34793,35726,36220,36948,37763,38596,39460,40155,41128,41584,42394,43248,43998,44547,45300,45884,46325,47126,47548,48105,48785,49306,49789,50088,50813,51358,51821,52298,52837,53342,53651,54263,54760,55216,55729,56209,56519,56795,57375,57708,58041,58323,58734,59005,59214,59638,60000,60285,60636,60947,61156,61320,61610,61842,62075,62268,62469,62687,62810,63111,63307,63459,63590,63698,63719,63872,64064,64285,64436,64606,64729,64835,64977,65029,65247,65408,65469,65578,65662,65722,65819,65918,66023,66103,66173,66177,66235,66284,66344,66385,66428,66474,66493,66503,66537,66593,66633,66654,66670,66691,66709,66743,66772,66796,66825,66862,66871,66879,66929,66943,66972,66989,67006,67014,67033,67063,67079,67108,67121,67141,67158,67177,67196,67223,67238,67248,67279,67292,67307,67323,67339,67363,67374,67391,67397,67408,67423,67453,67475,67490,67504,67510,67516,67539,67549,67550,67553,67558,67558,67562,67570
Andhra Pradesh,Chittoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,6,9,9,10,17,17,17,20,20,20,20,21,23,23,23,23,28,28,28,53,53,59,73,73,73,73,73,74,77,80,80,80,81,82,82,82,82,85,96,112,121,131,142,151,165,173,177,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,303,303,327,331,331,331,331,331,331,331,331,331,331,562,591,617,657,699,725,809,891,947,1054,1089,1136,1183,1250,1324,1444,1510,1765,2001,2209,2509,2668,2836,3074,3331,3536,3864,4207,4647,4763,5323,5668,5939,6569,6869,7442,7809,8261,9080,9589,10378,11327,12108,12348,12874,13551,14306,15286,16249,17097,17576,18334,19569,20532,21519,22478,23459,23917,24907,25737,26573,27676,28896,29830,30325,31292,32205,33133,33952,34765,35713,36649,37717,38841,39726,40696,41634,42561,43436,44614,45501,46469,47509,48441,49398,50146,50718,51516,52421,53323,54059,54853,55215,56117,56653,57555,58268,59243,59820,60149,60933,61858,62746,63671,64498,65361,65585,66555,67362,68146,68903,69609,70322,70615,71320,71725,72214,72724,73197,73655,74035,74494,74931,75343,75690,76094,76560,76849,77121,77436,77695,77991,78342,78768,78886,79322,79643,79929,80182,80437,80766,80871,81162,81360,81566,81791,81975,82062,82149,82286,82443,82641,82816,82964,83094,83126,83268,83342,83444,83518,83579,83643,83674,83769,83875,83980,84072,84161,84266,84298,84374,84450,84545,84653,84742,84846,84889,84977,85066,85196,85294,85381,85461,85507,85593,85657,85711,85792,85831,85936,85978,86030,86080,86145,86189,86248,86304,86325,86407,86447,86486,86530,86553,86575,86598,86630,86648,86699,86709,86733,86785,86800,86840,86886
Andhra Pradesh,East Godavari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,4,6,9,9,11,11,11,11,11,12,17,17,17,17,17,17,17,17,19,24,26,26,26,32,34,37,39,39,39,40,42,45,45,45,45,45,46,46,46,46,46,46,47,51,51,52,52,52,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,281,281,292,301,301,301,301,301,301,301,301,301,301,555,619,706,760,824,836,945,1002,1074,1129,1209,1331,1387,1489,1607,1778,1890,2015,2062,2231,2374,2642,2955,3115,3362,3862,4505,5499,6146,7232,7756,8647,10038,11067,12391,13486,14696,16063,17739,19180,20395,21271,22201,23314,24685,26229,27580,28850,30160,31703,32938,34310,35642,37146,38292,39418,40293,41204,42600,43999,45356,46668,47989,49245,50686,52039,53567,54656,55834,56930,58020,59403,60611,61810,62900,64305,65704,66948,68260,69686,71085,72497,73996,75394,76808,78220,79643,81064,82447,83852,85247,86507,87769,88935,90047,91142,92173,93184,94190,95200,96191,97174,98160,99135,99959,100785,101638,102439,103246,103898,104636,105342,106043,106590,107281,107888,108436,109044,109611,110092,110560,111017,111694,112186,112661,113106,113360,113673,114137,114554,114968,115373,115744,116035,116389,116783,117207,117614,118015,118401,118589,118930,119157,119501,119791,120050,120302,120441,120571,120785,120940,121123,121325,121490,121624,121728,121844,121970,122087,122152,122206,122246,122291,122361,122421,122488,122548,122612,122650,122685,122742,122791,122841,122900,122947,122988,123016,123063,123121,123166,123220,123267,123305,123323,123361,123396,123454,123503,123556,123583,123604,123625,123653,123695,123740,123755,123766,123785,123806,123845,123877,123903,123923,123940,123964,123983,124010,124027,124042,124055,124067,124070,124085,124097
Andhra Pradesh,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,4,9,9,20,20,30,30,32,41,49,51,58,75,82,93,114,122,122,126,125,129,149,158,177,195,206,209,214,237,254,283,287,308,308,319,338,351,363,373,374,376,382,387,387,399,404,404,413,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,566,566,580,584,584,584,584,584,584,584,584,584,584,768,802,852,891,958,1032,1103,1193,1291,1349,1426,1530,1610,1670,1827,2024,2262,2435,2663,2799,2867,3019,3210,3356,3824,3963,4330,4544,4898,5494,6071,6913,8097,8800,9456,10003,10747,11692,12816,13762,14668,15669,16308,16881,17821,18551,19419,20236,20837,21718,22339,23056,23818,24413,24940,25549,26139,26915,27810,28365,28808,29166,29885,30392,30859,31776,32308,33234,34035,34670,35263,35761,36378,37278,38083,38791,39432,40135,40900,41602,42309,43147,44067,44546,45338,46004,46645,47330,47880,48393,48864,49446,49978,50584,51232,51783,52316,52709,53244,53782,54192,54690,55284,55735,56226,56788,57232,57673,58106,58599,58941,59411,59842,60221,60612,60957,61347,61593,61852,62348,62681,63068,63464,63849,64372,64750,65051,65346,65731,66152,66511,66896,67220,67607,67786,68063,68386,68683,69006,69232,69596,69712,69987,70182,70394,70596,70790,70996,71046,71245,71426,71632,71776,71897,72061,72178,72304,72394,72566,72678,72746,72847,72882,72969,73055,73127,73198,73283,73397,73484,73573,73665,73737,73801,73875,73944,73968,74023,74071,74125,74166,74228,74282,74303,74335,74381,74423,74476,74532,74566,74619,74675,74719,74757,74798,74830,74857,74872,74932,74974,75009,75048,75083,75133,75145,75176,75217,75243,75257,75263,75282,75295,75319,75338
Andhra Pradesh,Kadapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,19,23,23,27,28,28,29,29,30,31,31,33,36,36,37,37,37,40,46,51,51,51,55,58,58,65,69,73,83,83,83,87,89,90,96,96,96,97,97,97,97,99,101,102,102,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,173,173,189,213,213,213,213,213,213,213,213,213,213,388,430,454,478,500,633,683,794,865,940,1000,1101,1120,1193,1245,1341,1369,1440,1554,1645,1692,1786,1870,1982,2094,2220,2275,2420,2646,2796,3120,3349,3573,4067,4361,4757,5093,5743,6477,7230,7876,8423,8819,9395,10160,10889,11493,12089,12614,13437,13876,14455,14819,15603,16133,16522,16808,17331,18086,18759,19193,19536,20075,20523,21162,21683,22411,23255,23756,24747,25699,26119,27113,27913,28811,29538,30577,31481,31928,32729,33514,34090,34788,35580,36165,36491,37152,37688,38325,38744,39264,39531,39750,40339,40939,41484,41852,42389,42861,43132,43431,43818,44218,44557,45048,45456,45687,46121,46422,46745,47097,47601,48019,48209,48526,48858,49139,49351,49597,49863,50018,50208,50374,50586,50811,51014,51167,51252,51379,51572,51763,51911,52080,52205,52346,52515,52642,52767,52899,53030,53114,53214,53281,53369,53454,53497,53568,53615,53681,53733,53793,53851,53916,53986,54046,54077,54134,54171,54226,54259,54278,54326,54352,54382,54411,54432,54457,54485,54509,54545,54563,54586,54599,54608,54629,54641,54653,54687,54706,54733,54751,54774,54788,54799,54824,54857,54871,54883,54898,54915,54924,54948,54972,54992,55008,55024,55028,55037,55058,55069,55079,55093,55100,55107,55115,55129,55138,55143,55156,55158,55158,55177,55186,55197
Andhra Pradesh,Krishna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,4,4,4,5,6,23,23,28,28,29,29,35,35,35,35,35,36,44,45,48,52,70,75,80,83,86,88,102,127,177,210,223,236,246,258,258,266,278,286,300,316,322,338,339,342,346,349,351,360,367,367,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,570,570,607,632,632,632,632,632,632,632,632,632,632,1048,1063,1096,1132,1179,1199,1252,1331,1383,1467,1519,1594,1611,1681,1743,1798,1898,1968,2095,2175,2298,2504,2615,2744,2852,2984,3021,3151,3548,3677,4101,4252,4482,4841,5248,5580,5707,6000,6259,6530,6843,7200,7579,7819,8239,8679,9042,9462,9853,10292,10438,10780,11115,11445,11783,12081,12344,12479,12760,13041,13236,13501,13733,13875,14029,14351,14650,14966,15380,15742,16125,16284,16595,16992,17310,17688,18025,18482,18675,19064,19414,19959,20410,20877,21274,21475,21873,22269,22636,23123,23591,24030,24163,24507,24935,25281,25704,26154,26487,26584,26982,27428,27852,28325,28717,29186,29365,29847,30311,30710,31020,31488,31950,32036,32452,32910,33331,33787,34095,34598,34715,35113,35616,35986,36446,36790,37148,37222,37633,38090,38451,38899,39324,39652,39720,40141,40473,40871,41169,41527,41804,41879,42148,42394,42617,42819,43044,43197,43273,43533,43727,43923,44121,44310,44477,44521,44745,44890,45052,45154,45257,45342,45412,45558,45675,45780,45895,45992,46121,46157,46265,46386,46472,46543,46625,46684,46721,46798,46860,46934,47012,47104,47187,47210,47282,47366,47420,47463,47501,47568,47600,47667,47742,47786,47839,47871,47911,47926,47992,48019,48064,48110,48145,48183,48191,48240,48270,48285,48297,48309,48335,48341,48376,48395
Andhra Pradesh,Kurnool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,53,74,74,75,75,77,82,84,84,91,110,113,126,132,158,174,184,203,234,261,275,279,292,332,343,386,436,436,466,491,516,533,540,547,553,566,575,584,591,591,599,608,611,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,776,776,833,849,849,849,849,849,849,849,849,849,849,1294,1354,1407,1148,1555,1615,1684,1787,1873,1955,2045,2120,2236,2354,2451,2587,2671,2722,2795,2939,3168,3405,3654,3823,4226,4816,5131,5681,6045,6604,7119,7797,8701,9615,10357,11570,12234,13380,14471,15723,16847,18081,19077,19679,20695,22063,23348,24679,26032,27431,28314,29452,30233,31056,32012,32746,33580,33952,34782,35576,36381,37300,38150,38835,39319,40100,40845,41700,42457,43248,44059,44745,45558,46255,46871,47573,48006,48386,48702,49216,49700,50182,50679,51184,51625,51966,52280,52704,53098,53435,53754,54029,54219,54491,54720,55045,55250,55456,55685,55798,55942,56158,56423,56627,56852,57072,57158,57281,57425,57600,57811,57930,58105,58241,58329,58433,58536,58636,58727,58782,58848,58896,58961,59027,59096,59156,59223,59286,59341,59373,59398,59434,59468,59508,59530,59565,59600,59638,59661,59698,59722,59758,59791,59815,59851,59896,59915,59942,59954,59972,59998,60012,60031,60054,60075,60085,60116,60144,60165,60186,60208,60223,60235,60245,60250,60269,60282,60287,60295,60299,60302,60316,60334,60354,60376,60404,60416,60425,60431,60444,60457,60483,60490,60498,60503,60508,60517,60529,60530,60540,60544,60548,60555,60561,60571,60582,60590,60602,60607,60614,60626,60652,60664,60687,60693,60696,60701,60714,60715,60723,60729,60733,60744,60751
Andhra Pradesh,Prakasam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,11,15,17,17,32,34,42,43,27,48,48,41,41,41,43,42,42,42,44,44,44,44,48,50,53,53,56,56,56,60,60,61,61,61,61,61,61,61,61,61,63,63,63,63,63,63,63,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,86,86,95,97,97,97,97,97,97,97,97,97,97,180,477,484,493,522,537,561,579,603,608,641,643,658,685,730,771,810,873,904,955,1031,1155,1254,1419,1464,1590,1717,1714,1864,2085,2256,2433,2704,3059,3307,3549,3866,4201,4443,4761,5167,5569,5953,6317,6541,6890,7256,7593,8105,8535,8985,9328,9782,10463,10763,11252,11866,12223,12948,13533,14168,14965,15658,16581,17170,17875,18661,19681,20555,21425,22306,22830,23718,24518,25444,26700,28032,29074,29493,30950,32221,33607,34508,35654,36442,36886,37865,38738,39443,40156,40826,41695,42536,43208,43710,44637,45443,46063,46722,47356,47925,48249,49032,49700,50319,50901,51567,52147,52411,53002,53488,54026,54388,54658,55100,55246,55545,55900,56248,56582,56890,57198,57325,57636,57953,58219,58559,58663,58816,58915,59121,59267,59401,59656,59834,60019,60089,60213,60321,60405,60488,60554,60665,60689,60777,60828,60914,60951,60987,61018,61042,61085,61135,61201,61265,61290,61332,61344,61387,61400,61427,61446,61453,61483,61498,61538,61558,61593,61629,61638,61656,61673,61708,61729,61763,61783,61804,61830,61842,61861,61867,61888,61911,61930,61948,61961,61970,61982,61983,61991,61999,62008,62014,62029,62036,62042,62046,62049,62055,62057,62069,62079,62081,62086,62091,62096,62098,62107,62118,62110,62115,62121,62125,62132
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,24,32,21,23,24,24,48,38,40,48,52,56,56,58,58,64,67,67,67,67,67,67,68,72,72,79,82,82,84,90,90,91,91,92,92,96,96,96,101,102,111,111,126,140,149,150,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,352,352,354,362,362,362,362,362,362,362,362,362,362,471,187,192,200,218,246,272,313,339,370,390,477,616,673,700,738,767,769,865,975,1038,1172,1206,1238,1291,1395,1448,1995,2386,2486,2683,3010,3448,3726,4025,4354,4776,5145,5753,6455,7316,7875,8323,8823,9380,9917,10705,11646,12524,13220,13731,14095,14818,15500,16169,16741,17164,17645,18329,19084,19672,20433,21376,22361,23326,24275,25443,26377,27528,28566,29594,30680,31739,32681,33663,34933,35979,37278,38227,39269,40218,41041,41819,42530,43374,44130,44950,45512,46122,46590,47283,47727,48128,48684,49163,49568,50027,50493,50999,51488,51920,52335,52807,53293,53851,54264,54629,55080,55447,55758,56068,56390,56678,56844,57072,57291,57469,57689,57929,58125,58244,58426,58542,58668,58790,58888,58984,59082,59158,59234,59330,59410,59496,59592,59685,59778,59872,60002,60123,60276,60364,60440,60519,60608,60699,60792,60854,60884,60898,60930,60968,61008,61055,61115,61141,61171,61221,61272,61313,61342,61366,61405,61424,61463,61497,61531,61554,61586,61610,61635,61670,61699,61723,61736,61753,61782,61809,61831,61848,61869,61895,61911,61935,61944,61960,61975,62003,62027,62043,62054,62061,62067,62076,62094,62106,62110,62116,62124,62141,62157,62181,62204,62215,62222,62231,62237,62239,62247,62239,62258,62261,62262,62265,62269
